month,year,company,sentiment_score
2,15,AAT,0.0
5,22,AAT,1.0
6,22,AAT,1.0
8,22,AAT,1.0
9,22,AAT,1.0
10,22,AAT,1.0
11,22,AAT,1.0
3,23,AAT,1.0
4,23,AAT,-1.0
5,23,AAT,1.0
5,14,BDN,-1.0
6,19,BDN,0.0
6,20,BDN,-1.0
6,21,BDN,-1.0
11,21,BDN,-1.0
3,22,BDN,0.9994
4,22,BDN,0.9152
1,23,BDN,0.8432
5,23,BDN,0.9965
7,23,BDN,0.9865
5,15,BXP,-1.0
2,16,BXP,0.9925
3,16,BXP,0.9595
3,17,BXP,0.9648
12,17,BXP,0.7458
2,18,BXP,0.8953
6,18,BXP,0.1154
3,19,BXP,0.9922
6,19,BXP,0.5004
11,19,BXP,0.9239
2,20,BXP,-0.0136
3,20,BXP,1.0
4,20,BXP,-1.0
6,20,BXP,0.9675
9,20,BXP,-0.0186
11,20,BXP,0.1779
1,21,BXP,0.9836
2,21,BXP,0.0
3,21,BXP,0.9933
4,21,BXP,0.7454
6,21,BXP,-1.0
11,21,BXP,-0.6072
2,22,BXP,-1.0
5,22,BXP,0.9993
7,22,BXP,0.9468
8,22,BXP,-1.0
9,22,BXP,0.9982
10,22,BXP,0.8316
1,23,BXP,0.9305
3,23,BXP,0.9997
5,23,BXP,1.0
6,23,BXP,-0.3634
7,23,BXP,-0.0002
5,15,CLI,-1.0
6,21,CLI,1.0
8,21,DEI,1.0
8,22,DEI,1.0
9,22,DEI,1.0
3,23,DEI,-1.0
6,23,DEI,1.0
1,19,EQC,0.9815
5,21,EQC,0.9815
11,21,EQC,0.9803
9,22,EQC,-1.0
1,23,EQC,0.8432
5,23,EQC,0.872
8,23,EQC,-1.0
4,23,ESRT,-1.0
6,16,HIW,0.9042
11,18,HIW,0.9118
2,19,HIW,1.0
4,19,HIW,1.0
6,19,HIW,-1.0
5,20,HIW,0.8916
11,21,HIW,-1.0
8,22,HIW,-1.0
9,22,HIW,1.0
1,23,HIW,0.8432
3,23,HIW,1.0
5,23,HIW,0.9992
7,17,HPP,0.9437
12,18,HPP,0.7277
3,20,HPP,1.0
2,21,HPP,0.9442
3,21,HPP,0.9933
4,21,HPP,0.7454
8,21,HPP,1.0
9,21,HPP,0.9636
11,21,HPP,0.7838
12,21,HPP,-1.0
1,22,HPP,0.8536
4,22,HPP,0.9876
5,22,HPP,0.9993
7,22,HPP,-0.3337
8,22,HPP,1.0
9,22,HPP,0.9851
12,22,HPP,0.0
1,23,HPP,0.281
2,23,HPP,0.9741
3,23,HPP,0.4274
7,23,HPP,-0.2263
5,22,JBGS,1.0
8,22,JBGS,-0.7143
9,22,JBGS,-1.0
11,22,JBGS,-1.0
12,22,JBGS,-1.0
2,23,JBGS,-1.0
3,23,JBGS,1.0
4,23,JBGS,-1.0
7,23,JBGS,-1.0
2,16,KRC,0.9772
7,17,KRC,0.9108
2,18,KRC,0.9478
2,19,KRC,0.9586
7,19,KRC,0.749
10,20,KRC,0.296
1,21,KRC,0.9914
3,21,KRC,0.9933
4,21,KRC,0.7454
5,22,KRC,0.9993
9,22,KRC,0.9982
12,22,KRC,0.908
1,23,KRC,0.8432
3,23,KRC,0.9947
4,23,KRC,0.9956
7,23,KRC,-1.0
2,15,OFC,0.0
12,17,OFC,0.9616
1,18,OFC,1.0
12,18,OFC,-1.0
1,20,OFC,0.872
6,20,OFC,0.5116
12,20,OFC,0.9169
4,21,OFC,0.8689
6,21,OFC,-0.5095
11,21,OFC,1.0
2,22,OFC,1.0
3,22,OFC,-1.0
5,22,OFC,-1.0
1,23,OFC,0.8432
5,23,OFC,-1.0
9,13,Office,0.9959
1,14,Office,0.9933
2,14,Office,0.9774
3,14,Office,0.8375
4,14,Office,0.9822
5,14,Office,0.9957
6,14,Office,0.9968
8,14,Office,0.9988
9,14,Office,0.9942
10,14,Office,0.9957
11,14,Office,0.9706
1,15,Office,0.983
6,15,Office,0.9944
8,15,Office,0.9134
10,15,Office,0.9831
2,16,Office,0.9848
3,16,Office,0.9858
4,16,Office,0.988
5,16,Office,0.9734
6,16,Office,0.6984
10,16,Office,0.9393
11,16,Office,0.9787
1,17,Office,0.9726
3,17,Office,0.9648
5,17,Office,0.9794
6,17,Office,0.9529
7,17,Office,0.9317
12,17,Office,0.8878
2,18,Office,0.9417
6,18,Office,0.5512
7,18,Office,0.9928
8,18,Office,0.9908
11,18,Office,0.9542
12,18,Office,0.8179
1,19,Office,0.9815
2,19,Office,0.9638
3,19,Office,0.9889
6,19,Office,0.6614
7,19,Office,0.749
11,19,Office,0.9559
1,20,Office,0.9102
2,20,Office,0.9449
3,20,Office,0.4633
5,20,Office,0.9384
6,20,Office,0.822
9,20,Office,0.9325
10,20,Office,0.296
11,20,Office,0.1779
12,20,Office,0.9169
1,21,Office,0.9914
2,21,Office,0.5922
3,21,Office,0.9842
4,21,Office,0.8339
5,21,Office,0.9815
6,21,Office,0.9618
9,21,Office,0.9698
11,21,Office,0.9093
12,21,Office,0.9061
1,22,Office,0.8536
3,22,Office,0.7291
4,22,Office,0.965
5,22,Office,0.9993
7,22,Office,0.8945
9,22,Office,0.946
10,22,Office,0.9333
12,22,Office,0.9437
1,23,Office,0.8916
2,23,Office,0.928
3,23,Office,0.9958
4,23,Office,0.723
5,23,Office,0.9559
6,23,Office,0.3577
7,23,Office,0.5751
6,16,PDM,0.4927
6,17,PDM,0.4678
12,17,PDM,0.956
8,18,PDM,0.9908
12,18,PDM,0.9081
