month,year,company,sentiment_score
2,15,AAT,0.0
5,22,AAT,1.0
6,22,AAT,1.0
8,22,AAT,1.0
9,22,AAT,1.0
10,22,AAT,1.0
11,22,AAT,1.0
3,23,AAT,1.0
4,23,AAT,-1.0
5,23,AAT,1.0
5,14,BDN,-1.0
6,19,BDN,0.0
6,20,BDN,-1.0
6,21,BDN,-1.0
11,21,BDN,-1.0
5,15,BXP,-1.0
2,20,BXP,-1.0
3,20,BXP,1.0
4,20,BXP,-1.0
9,20,BXP,-1.0
6,21,BXP,-1.0
11,21,BXP,-1.0
2,22,BXP,-1.0
8,22,BXP,-1.0
3,23,BXP,1.0
5,23,BXP,1.0
6,23,BXP,-1.0
7,23,BXP,-1.0
5,15,CLI,-1.0
6,21,CLI,1.0
8,21,DEI,1.0
8,22,DEI,1.0
9,22,DEI,1.0
3,23,DEI,-1.0
6,23,DEI,1.0
9,22,EQC,-1.0
8,23,EQC,-1.0
4,23,ESRT,-1.0
2,19,HIW,1.0
4,19,HIW,1.0
6,19,HIW,-1.0
11,21,HIW,-1.0
8,22,HIW,-1.0
9,22,HIW,1.0
3,23,HIW,1.0
3,20,HPP,1.0
2,21,HPP,1.0
8,21,HPP,1.0
12,21,HPP,-1.0
7,22,HPP,-1.0
8,22,HPP,1.0
9,22,HPP,1.0
12,22,HPP,0.0
1,23,HPP,-1.0
3,23,HPP,0.2
5,22,JBGS,1.0
8,22,JBGS,-0.7142857142857143
9,22,JBGS,-1.0
11,22,JBGS,-1.0
12,22,JBGS,-1.0
2,23,JBGS,-1.0
3,23,JBGS,1.0
4,23,JBGS,-1.0
7,23,JBGS,-1.0
3,23,KRC,1.0
7,23,KRC,-1.0
2,15,OFC,0.0
1,18,OFC,1.0
12,18,OFC,-1.0
6,21,OFC,-1.0
11,21,OFC,1.0
2,22,OFC,1.0
3,22,OFC,-1.0
5,22,OFC,-1.0
5,23,OFC,-1.0
6,17,PDM,0.0
4,19,PDM,1.0
6,19,PDM,-1.0
2,22,PDM,0.0
3,22,PDM,1.0
5,22,PDM,0.3333333333333333
8,22,PDM,1.0
9,22,PDM,1.0
3,23,PDM,1.0
1,19,PGRE,-1.0
5,19,PGRE,1.0
6,19,PGRE,-1.0
12,22,PGRE,0.6
2,23,PGRE,1.0
3,23,PGRE,1.0
8,23,PGRE,1.0
8,19,SLG,1.0
3,20,SLG,-1.0
9,21,SLG,-1.0
12,21,SLG,-1.0
2,22,SLG,-1.0
3,23,SLG,0.6
4,23,SLG,-1.0
5,23,SLG,-1.0
7,23,SLG,-1.0
8,23,SLG,-1.0
10,22,VRE,1.0
