month,year,company,sentiment_score
1,19,EQC,0.9815
1,20,OFC,0.872
1,20,PDM,0.9485
1,21,BXP,0.9836
1,21,KRC,0.9914
1,21,VRE,0.9992
1,22,HPP,0.8536
1,23,BDN,0.8432
1,23,BXP,0.9305
1,23,EQC,0.8432
1,23,HIW,0.8432
1,23,HPP,0.9216
1,23,KRC,0.8432
1,23,OFC,0.8432
1,23,PDM,0.9142
1,23,PGRE,0.8432
1,23,SLG,0.8432
1,23,VRE,0.9999
2,16,BXP,0.9925
2,16,KRC,0.9772
2,18,BXP,0.8953
2,18,KRC,0.9478
2,18,VRE,0.9819
2,19,KRC,0.9586
2,19,VRE,0.969
2,20,BXP,0.9729
2,20,VRE,0.9169
2,21,BXP,0.0
2,21,HPP,0.8883
2,23,HPP,0.9741
3,16,BXP,0.9595
3,17,BXP,0.9648
3,19,BXP,0.9922
3,21,BXP,0.9933
3,21,HPP,0.9933
3,21,KRC,0.9933
3,21,PGRE,0.9933
3,22,BDN,0.9994
3,23,BXP,0.9991
3,23,HPP,0.9958
3,23,KRC,0.9921
4,21,BXP,0.7454
4,21,HPP,0.7454
4,21,KRC,0.7454
4,21,OFC,0.8689
4,21,PDM,0.9992
4,21,SLG,0.9992
4,21,VRE,0.9992
4,22,BDN,0.9152
4,22,HPP,0.9876
4,22,VRE,0.9921
4,23,KRC,0.9956
5,20,HIW,0.8916
5,21,EQC,0.9815
5,22,BXP,0.9993
5,22,HPP,0.9993
5,22,KRC,0.9993
5,22,PDM,0.9993
5,22,PGRE,0.9993
5,22,SLG,0.9993
5,22,VRE,0.9993
5,23,BDN,0.9965
5,23,EQC,0.872
5,23,HIW,0.9992
6,16,HIW,0.9042
6,16,PDM,0.4927
6,17,PDM,0.9356
6,18,BXP,0.1154
6,19,BXP,0.5004
6,20,BXP,0.9675
6,20,OFC,0.5116
6,20,PDM,0.9869
6,21,OFC,0.9618
6,23,BXP,0.2732
7,17,HPP,0.9437
7,17,KRC,0.9108
7,19,KRC,0.749
7,22,BXP,0.9468
7,22,HPP,0.9989
7,23,BDN,0.9865
7,23,BXP,0.9996
7,23,HPP,-0.2263
7,23,VRE,0.6808
8,18,PDM,0.9908
9,20,BXP,0.9628
9,21,HPP,0.9636
9,22,BXP,0.9982
9,22,HPP,0.933
9,22,KRC,0.9982
10,20,KRC,0.296
10,22,BXP,0.8316
10,22,SLG,0.9959
11,18,HIW,0.9118
11,19,BXP,0.9239
11,20,BXP,0.1779
11,21,BXP,0.9638
11,21,EQC,0.9803
11,21,HPP,0.7838
12,17,BXP,0.7458
12,17,OFC,0.9616
12,17,PDM,0.956
12,18,HPP,0.7277
12,18,PDM,0.9081
12,20,OFC,0.9169
12,22,KRC,0.908
12,22,PDM,0.9794
