companies_mentioned,month,sector,sentiment_score,year
"Ventas, Inc., Health Care",07,Health Care,0.9432,23
"Invitation Homes, Residential,AMH, Residential,Tricon Residential Inc., Residential",07,Residential,0.9997,23
"Phillips Edison & Co., Retail",06,Retail,0.8281,23
,04,,0.8225,23
,04,,0.2716,23
,04,,0.2247,23
,04,,0.871,23
"Pebblebrook Hotel Trust, Lodging/Resorts",01,Lodging/Resorts,0.9538,23
"Kilroy Realty Corporation, Office",12,Office,0.908,22
"Farmland Partners Inc., Specialty",06,Specialty,0.7003,23
,10,,0.5547,22
,10,,0.9186,22
,10,,0.2302,22
,10,,0.7715,22
"AvalonBay Communities, Inc., Residential",02,Residential,0.9973,23
"SL Green Realty Corp., Office",10,,0.9959,22
"BXP, Office",07,Office,0.9468,22
"Orion Office REIT Inc., Office",07,Office,0.9201,22
,09,,0.9041,22
"Empire State Realty Trust, Office,Hudson Pacific Properties, Inc., Office",07,,0.9989,22
"Kimco Realty Corporation, Retail",12,Retail,0.9168,22
"Easterly Government Properties, Office",07,Office,0.6597,22
,07,,-0.8126,22
"Prologis, Inc., Industrial,Equinix, Inc., Data Center,Iron Mountain, Specialty,Weyerhaeuser, Timberlands,Crown Castle Inc., Infrastructure,Host Hotels & Resorts, Inc., Lodging/Resorts,Healthpeak Properties, Inc., Health Care,Regency Centers Corporation, Retail",12,,0.979,22
"Host Hotels & Resorts, Inc., Lodging/Resorts",09,,0.8979,22
"INDUS RealtyTrust, Inc., Industrial",07,Industrial,0.9744,22
"Blackstone Real Estate Advisors, Diversified,Blackstone Real Estate Income Trust, Inc., Specialty",10,,0.984,22
"Alexander & Baldwin, Inc., Diversified",07,Diversified,0.9462,22
"InvenTrust Properties Corp., Retail",07,Retail,0.9816,22
"The Necessity Retail REIT, Inc., Retail",07,Retail,0.6597,22
"Veris Residential, Inc., Residential",07,Residential,0.8979,22
"Plymouth Industrial REIT, Inc., Industrial",07,Industrial,0.8979,22
"Welltower Inc., Health Care",07,Residential,-0.1129,22
"American Strategic Investment Co., Office",07,,0.918,22
"Global Net Lease, Diversified",07,,0.9359,22
,06,Lodging/Resorts,0.9195,22
"Phillips Edison & Co., Retail",06,Retail,-0.8131,22
"Getty Realty Corp., Retail",06,,0.7845,22
"W. P. Carey Inc., Diversified",06,,0.8971,22
"LTC Properties, Inc., Health Care",06,Health Care,0.9324,22
"Equity Residential, Residential",06,Residential,0.8801,22
"STORE Capital Corporation, Retail",06,,0.9022,22
"Kimco Realty Corporation, Retail",06,Retail,0.9719,22
"Whitestone REIT, Retail",06,Retail,0.9836,22
,06,,0.9509,22
"National Storage Affiliates, Self-storage",06,Self-Storage,0.9867,22
"CareTrust REIT, Inc., Health Care",06,Health Care,0.9913,22
"UMH Properties, Inc., Residential",06,Residential,0.866,22
"Modiv Industrial, Inc., Diversified",06,Diversified,0.8885,22
"Federal Realty Investment Trust, Retail",06,Retail,0.8442,22
,04,,0.8266,22
"Agree Realty Corporation, Retail",06,Retail,0.9382,22
,04,,0.9845,22
,04,,0.9678,22
"Essex Property Trust, Inc., Residential",06,Residential,0.8739,22
"Armada Hoffler Properties, Inc., Diversified",06,Diversified,0.9119,22
"Essex Property Trust, Inc., Residential,UDR, Inc., Residential",04,,0.9928,22
,04,,0.9945,22
"Realty Income Corporation, Diversified",06,,0.8932,22
,05,,0.8633,22
,05,,0.93,22
"Kilroy Realty Corporation, Office,Vornado Realty Trust, Diversified,SL Green Realty Corp., Office,Office Properties Income Trust, Office,BXP, Office,Hudson Pacific Properties, Inc., Office,Welltower Inc., Health Care,Digital Realty, Data Center,Empire State Realty Trust, Office,Healthpeak Properties, Inc., Health Care,Paramount Group, Inc., Office,Piedmont Office Realty Trust, Inc., Office,Ventas, Inc., Health Care",05,,0.9993,22
,05,,0.9554,22
"Blackstone Real Estate Income Trust, Inc., Specialty",04,,0.9963,22
"Host Hotels & Resorts, Inc., Lodging/Resorts",07,Lodging/Resorts,0.9682,22
,05,,0.8252,22
,06,,0.9418,22
,06,,0.999,22
"JBG SMITH, Diversified,Physicians Realty Trust, Health Care",05,,0.9874,22
,05,,0.9593,22
,07,,0.9664,22
"Empire State Realty Trust, Office,Vornado Realty Trust, Diversified",04,,0.9921,22
"Public Storage, Self-storage,Blackstone Real Estate Income Trust, Inc., Specialty",04,,0.9925,22
"STORE Capital Corporation, Retail",04,,0.9808,22
"Macerich, Retail",05,Retail,0.9325,22
"Apartment Income REIT Corp., Residential",07,Residential,0.4273,22
"Prologis, Inc., Industrial",06,,0.9942,22
"Broadstone Net Lease, Inc., Diversified",07,Diversified,0.8669,22
"Four Corners Property Trust, Retail",07,Retail,0.872,22
"Centerspace, Residential",07,Residential,0.9718,22
,07,,0.9118,22
"Chatham Lodging Trust, Lodging/Resorts",07,Lodging/Resorts,0.9318,22
"Independence Realty Trust, Residential",07,Residential,0.9531,22
"Extra Space Storage, Inc., Self-storage",07,Self-Storage,0.9694,22
"Kite Realty Group Trust, Retail",07,Retail,0.9857,22
"Ashford Hospitality Trust, Lodging/Resorts",07,Lodging/Resorts,0.9915,22
"BSR Real Estate Investment Trust, Residential",07,Residential,0.9022,22
,08,,0.91,22
,08,,0.9888,22
,09,,0.9661,22
"Apple Hospitality REIT, Inc., Lodging/Resorts",07,Lodging/Resorts,0.9805,22
,09,,0.128,22
"American Tower Corporation, Infrastructure,BXP, Office,CubeSmart, Self-storage,Empire State Realty Trust, Office,Equity Residential, Residential,Healthpeak Properties, Inc., Health Care,Hudson Pacific Properties, Inc., Office,JBG SMITH, Diversified,Kilroy Realty Corporation, Office,Kimco Realty Corporation, Retail,Macerich, Retail,Phillips Edison & Co., Retail,Prologis, Inc., Industrial,Ventas, Inc., Health Care",09,,0.9982,22
"Tanger Outlets, Retail",07,Retail,0.6115,22
"Braemar Hotels & Resorts, Inc., Lodging/Resorts",07,Lodging/Resorts,0.8622,22
,09,,0.9118,22
,09,,0.91,22
,08,,0.9829,22
,09,"Office,Industrial",0.8676,22
"PREIT, Retail",08,Retail,0.9829,22
,09,,0.9726,22
"American Tower Corporation, Infrastructure",09,,0.9831,22
,09,,0.8905,22
"STORE Capital Corporation, Retail,Realty Income Corporation, Diversified",09,Retail,0.9893,22
,09,,0.8761,22
,09,,0.571,22
"AGNC Investment Corp., Mortgage",09,,0.9638,22
,09,,0.9194,22
,09,,0.2707,22
,10,"Office,Industrial,Residential,Retail",0.9724,22
"Hudson Pacific Properties, Inc., Office",09,,0.8678,22
,10,,0.8932,22
"Healthpeak Properties, Inc., Health Care",09,,-0.0387,22
"Armada Hoffler Properties, Inc., Diversified",09,,0.9995,22
"Phillips Edison & Co., Retail",09,,0.7685,22
,11,,0.9791,22
,11,,0.906,22
"JBG SMITH, Diversified",09,,0.5423,22
,11,,-0.9197,22
"Getty Realty Corp., Retail",11,,0.9559,22
"Elme Communities, Residential",10,Residential,0.9774,22
"Macerich, Retail",10,,0.9382,22
"BXP, Office",10,,0.8316,22
