companies_mentioned,month,sector,sentiment_score,year
BXP,07,Office,-1,23
BXP,03,Office,1,23
BXP,08,Office,-1,22
BXP,09,Office,-1,20
BXP,04,Office,-1,20
BXP,03,Office,1,20
BXP,02,Office,-1,20
BXP,05,Office,-1,15
HIW,06,Office,-1,19
HIW,04,Office,1,19
HIW,02,Office,1,19
KRC,07,Office,-1,23
KRC,03,Office,1,23
SLG,07,Office,-1,23
SLG,04,Office,-1,23
SLG,03,Office,1,23
SLG,03,Office,1,23
SLG,03,Office,-1,20
SLG,08,Office,1,19
BDN,06,Office,-1,20
BDN,06,Office,-1,19
BDN,06,Office,1,19
BDN,05,Office,-1,14
PDM,02,Office,-1,22
PDM,06,Office,-1,19
PDM,04,Office,1,19
PDM,06,Office,0,17
CLI,05,Office,-1,15
DEI,03,Office,-1,23
DEI,03,Office,-1,23
OFC,11,Office,1,21
OFC,12,Office,-1,18
OFC,01,Office,1,18
OFC,02,Office,0,15
ESRT,04,Office,-1,23
PGRE,06,Office,-1,19
PGRE,05,Office,1,19
PGRE,01,Office,-1,19
HPP,03,Office,-1,23
HPP,03,Office,-1,23
HPP,01,Office,-1,23
HPP,12,Office,-1,22
HPP,07,Office,-1,22
HPP,07,Office,-1,22
HPP,02,Office,1,21
HPP,03,Office,1,20
AAT,04,Office,-1,23
AAT,02,Office,0,15
JBGS,07,Office,-1,23
JBGS,04,Office,-1,23
JBGS,03,Office,1,23
BXP,06,Office,-1,23
BXP,05,Office,1,23
BXP,03,Office,1,23
BXP,08,Office,-1,22
BXP,02,Office,-1,22
BXP,11,Office,-1,21
BXP,11,Office,-1,21
BXP,11,Office,-1,21
BXP,11,Office,-1,21
BXP,06,Office,-1,21
CLI,06,Office,1,21
CLI,06,Office,1,21
HIW,03,Office,1,23
HIW,09,Office,1,22
HIW,09,Office,1,22
HIW,09,Office,1,22
HIW,08,Office,-1,22
HIW,11,Office,-1,21
VRE,10,Office,1,22
VRE,10,Office,1,22
VRE,10,Office,1,22
VRE,10,Office,1,22
VRE,10,Office,1,22
VRE,10,Office,1,22
VRE,10,Office,1,22
VRE,10,Office,1,22
SLG,08,Office,-1,23
SLG,05,Office,-1,23
SLG,03,Office,1,23
SLG,03,Office,1,23
SLG,03,Office,-1,23
SLG,02,Office,-1,22
SLG,02,Office,-1,22
SLG,12,Office,-1,21
SLG,09,Office,-1,21
DEI,06,Office,1,23
DEI,09,Office,1,22
DEI,09,Office,1,22
DEI,09,Office,1,22
DEI,09,Office,1,22
DEI,08,Office,1,22
DEI,08,Office,1,22
DEI,08,Office,1,21
BDN,11,Office,-1,21
BDN,11,Office,-1,21
BDN,06,Office,-1,21
BDN,06,Office,-1,21
PDM,03,Office,1,23
PDM,03,Office,1,23
PDM,03,Office,1,23
PDM,03,Office,1,23
PDM,03,Office,1,23
PDM,03,Office,1,23
PDM,03,Office,1,23
PDM,09,Office,1,22
PDM,08,Office,1,22
PDM,08,Office,1,22
PDM,08,Office,1,22
PDM,05,Office,1,22
PDM,05,Office,-1,22
PDM,05,Office,1,22
PDM,03,Office,1,22
PDM,02,Office,1,22
OFC,05,Office,-1,23
OFC,05,Office,-1,22
OFC,03,Office,-1,22
OFC,03,Office,-1,22
OFC,02,Office,1,22
OFC,06,Office,-1,21
OFC,06,Office,-1,21
OFC,06,Office,-1,21
PGRE,08,Office,1,23
PGRE,08,Office,1,23
PGRE,03,Office,1,23
PGRE,03,Office,1,23
PGRE,03,Office,1,23
PGRE,03,Office,1,23
PGRE,03,Office,1,23
PGRE,03,Office,1,23
PGRE,03,Office,1,23
PGRE,03,Office,1,23
PGRE,03,Office,1,23
PGRE,03,Office,1,23
PGRE,03,Office,1,23
PGRE,03,Office,1,23
PGRE,03,Office,1,23
PGRE,02,Office,1,23
PGRE,03,Office,1,23
PGRE,02,Office,1,23
PGRE,02,Office,1,23
PGRE,12,Office,-1,22
PGRE,12,Office,1,22
PGRE,12,Office,1,22
PGRE,12,Office,1,22
PGRE,12,Office,1,22
EQC,08,Office,-1,23
EQC,09,Office,-1,22
HPP,03,Office,1,23
HPP,03,Office,1,23
HPP,03,Office,1,23
HPP,12,Office,1,22
HPP,09,Office,1,22
HPP,09,Office,1,22
HPP,09,Office,1,22
HPP,09,Office,1,22
HPP,09,Office,1,22
HPP,09,Office,1,22
HPP,09,Office,1,22
HPP,08,Office,1,22
HPP,12,Office,-1,21
HPP,08,Office,1,21
HPP,08,Office,1,21
HPP,08,Office,1,21
HPP,08,Office,1,21
HPP,08,Office,1,21
JBGS,02,Office,-1,23
JBGS,12,Office,-1,22
JBGS,11,Office,-1,22
JBGS,11,Office,-1,22
JBGS,11,Office,-1,22
JBGS,09,Office,-1,22
JBGS,08,Office,1,22
JBGS,08,Office,-1,22
JBGS,08,Office,-1,22
JBGS,08,Office,-1,22
JBGS,08,Office,-1,22
JBGS,08,Office,-1,22
JBGS,08,Office,-1,22
JBGS,05,Office,1,22
JBGS,05,Office,1,22
JBGS,05,Office,1,22
AAT,05,Office,1,23
AAT,05,Office,1,23
AAT,05,Office,1,23
AAT,05,Office,1,23
AAT,05,Office,1,23
AAT,05,Office,1,23
AAT,05,Office,1,23
AAT,05,Office,1,23
AAT,05,Office,1,23
AAT,05,Office,1,23
AAT,03,Office,1,23
AAT,03,Office,1,23
AAT,11,Office,1,22
AAT,11,Office,1,22
AAT,11,Office,1,22
AAT,11,Office,1,22
AAT,10,Office,1,22
AAT,09,Office,1,22
AAT,09,Office,1,22
AAT,09,Office,1,22
AAT,09,Office,1,22
AAT,09,Office,1,22
AAT,09,Office,1,22
AAT,08,Office,1,22
AAT,08,Office,1,22
